,title,source,year,month,day
367,Q1电竞报告：移动电竞首超PC 直播淡出投资热点,中国新闻网,2017,04,27
368,软岛科技2016年营收增长147%，电竞布局成主要增长点,中国新闻网,2017,04,26
369,华西村第三代孙喜耀：曾考虑在外单干 与王思聪电竞,新浪综合,2017,04,21
370,阿里体育将电竞推入亚奥赛事 2022年亮相亚运会,新浪综合,2017,04,20
371,多地抢滩电竞产业 重庆忠县拟投资40亿 打造“电竞小镇”,21世纪经济报道,2017,04,19
372,入选亚运会正式项目 电竞产业“风口”来了,上海证券报,2017,04,18
373,电竞进入2022年亚运会,北京商报,2017,04,18
374,电竞将成亚运会正式比赛项目 行业再迎春天？,每日经济新闻,2017,04,18
375,电竞成为2022年亚运会正式项目 这些上市公司已抢先入场,中国证券网,2017,04,17
376,亚奥理事会与阿里体育达成合作 电竞将进入杭州亚运会,中国新闻网,2017,04,17
377,电竞成为2022年杭州亚运会正式项目,证券时报网,2017,04,17
378,老牌电竞对战平台浩方 15周年发布会即将揭秘,新华网,2017,04,16
379,联盟电竞新馆开到拉斯维加斯,新华网,2017,04,15
380,联盟电竞新店落户拉斯维加斯,新华网,2017,04,14
381,以创新赛事铸就品牌护城河 WCA布局生态电竞星球,中国新闻网,2017,04,13
382,联盟电竞新馆落户拉斯维加斯明年初开业,证券日报,2017,04,13
383,忠县强力进军电竞产业力推集群化发展,重庆商报,2017,04,13
384,联盟电竞新馆落户拉斯维加斯全球电竞网络稳步推进,中国新闻网,2017,04,12
385,联盟电竞在美建立新电竞场馆 预计2018年初开业,中国网,2017,04,12
386,《CS：GO》归来，国服成撬动中国电竞格局支点,每日经济新闻,2017,04,12
387,中国数码文化再配股 引林俊杰代言电竞战队,智通财经网,2017,04,09
388,中国数码文化(08175)获授予电竞战队使用林俊杰肖像独家权利 涉及发行2265万股代价股,智通财经网,2017,04,07
389,电竞体系 升级之路,第一财经日报,2017,04,07
390,专业电竞人才缺口20万 WCA2017公布国际教育计划,中国新闻网,2017,03,28
391,WCA2017年度发布会：突破赛事边界 引领电竞生态,经济观察网,2017,03,24
392,FunPlus领投北美顶级电竞团队Cloud9 众多明星投资人跟投,经济观察网,2017,03,24
393,京东宣布组建电竞战队 进军泛娱乐领域,中国证券网,2017,03,22
394,电竞麻将无缘全运会,重庆商报,2017,03,21
395,阿里体育发布移动电竞战略 将建职业联盟体系,中国证券网,2017,03,14
396,移动电竞促游戏业持续增长 用户超2亿收入翻倍 ,中国新闻网,2017,03,02
397,《王者荣耀》年赚70亿 移动电竞或迎500亿增长空间,中国新闻网,2017,03,01
398,2017北京电子竞技公开赛3月启动报名 支持“电竞”青年创业,中国新闻网,2017,02,27
399,2016年国内电竞总产值达269亿元,北京商报,2017,02,23
400,2017北京电子竞技公开赛3月启动报名 支持“电竞”青年创业,中国新闻网,2017,02,27
401,2016年国内电竞总产值达269亿元,北京商报,2017,02,23
402,云图控股：农村电竞+理财高成长 买入评级,中证网,2017,02,18
403,NBA正式 杀入电竞领域,第一财经日报,2017,02,13
404,NBA正式杀入电竞领域,一财网,2017,02,12
405,联众(06899)架构新建 电竞自网游业务分离,智通财经网,2017,02,09
406,联络互动4亿认购中国数码文化可转债 共谋“移动电竞”,中国证券网,2017,02,09
407,电竞热遭遇人才短缺 英雄互娱联手高校开办专业,每日经济新闻,2017,01,19
408,瞄准年轻客群 国美进军电竞产业,北京商报,2017,01,18
409,建战队搞联赛 国美宣布进军电竞产业,中国新闻网,2017,01,18
410,建战队搞联赛 国美宣布进军电竞产业,中国新闻网,2017,01,18
411,行业营收来源比例“失调” 三大短板待解 联盟电竞欲打综合模式牌甩开对手,中国经济网,2017,01,18
412,中国数码文化寄望内容逐鹿电竞 行政总裁详解背后原因,证券日报,2017,01,18
413,电竞行业营收来源比例“失调” 三大短板待解,证券日报,2017,01,18
414,中国电竞市场引来资本窥伺,《小康》,2017,01,16
415,电竞年度盛典落幕,新华网,2017,01,13
416,WESG世界总决赛开赛 电竞领域首个反兴奋剂倡议面世,中国新闻网,2017,01,12
417,WESG电竞总决赛今开战,重庆商报,2017,01,12
418,2016中国电竞年度盛典盛大开幕开启电竞至高荣誉之门,经济观察网,2017,01,10
419,电竞黄金时代：从洪水猛兽到吸金产业,中国经济周刊,2017,01,09
420,电竞黄金时代：从洪水猛兽到吸金产业,中国经济周刊,2017,01,09
421,中国电竞市场去年规模达400亿,北京商报,2017,01,09
422,QQ将投入5亿资源支持“电竞梦想成就计划”,证券时报网,2017,01,06
423,UCG总决赛线上线下观看总人数爆发增长 高校电竞崛起,中国新闻网,2017,01,05
424,WECG全球电子竞技大赛:想要开启“全民电竞”时代,界面,2017,01,05
425,联络互动产业版图拼上内容板块影视、电竞、直播一个不落,证券日报,2017,01,05
426,电子巨头的转型求索：国内最大电竞馆落户“华强北”,经济观察网,2017,01,03
427,电竞市场蓄势待发：巨头加速培育市场 细分领域求发展,中国证券报-中证网,2016,12,31
428,2016中国电竞年度盛典奖项提名公布,经济观察网,2016,12,23
429,华强北市场转型瞄上电竞深赛格联手联盟电竞尝试电竞馆业务,证券日报,2016,12,22
430,华强北市场转型瞄上电竞深赛格联手联盟电竞尝试电竞馆业务,证券日报,2016,12,22
431,2016年十大电竞时刻,界面,2016,12,22
432,联盟电竞携手深赛格 电竞成传统电子市场转型催化剂,新浪港股,2016,12,21
433,萧泓：中国电竞需要人才和赛事,界面,2016,12,21
434,外媒电竞报告：2016年增长之后将在17年引来风暴,界面,2016,12,20
435,电竞市场六年增长10倍 腾讯之后又来了国家队,界面,2016,12,19
436,WCA倾力打造电竞生态圈 公司称未来方向一定是上市,证券日报,2016,12,19
437,银川深耕电竞产业,经济日报,2016,12,19
438,世界电竞大赛全球总决赛中国战队成大赢家,新华网,2016,12,18
439,丁东：电竞行业需对资本涌入有所鉴别,中国政府网,2016,12,18
440,丁东：电竞行业需对资本涌入有所鉴别,中国政府网,2016,12,18
441,电竞产业进入快车道 赛事接踵而至企业积极布局,中国证券报-中证网,2016,12,16
442,赛事接踵而至：电竞产业进入快车道 资本市场积极布局,中国证券报-中证网,2016,12,16
443,深圳赛格股份有限公司关于与天津联盟电竞互联网科技有限公司签署战略合作协议的公告,证券时报,2016,12,16
444,深赛格牵手联盟电竞打造深圳电竞馆项目,证券时报,2016,12,16
445,深赛格与天津联盟电竞战略合作,中证网,2016,12,15
446,深赛格与天津联盟电竞签署战略合作协议,中国证券网,2016,12,15
447,争议中的电竞：洪水猛兽还是新锐产业,新华网,2016,12,14
448,高溢价引资本涌入电竞行业,时代周报,2016,12,13
449,电竞难掩急功近利：市场年增速超30% 从业企业估值暴涨,北京商报,2016,12,12
450,“钛度科技”李晓峰：电竞冠军转型创业菜鸟,经济参考报,2016,12,09
451,腾讯电竞谋划独立 马化腾想做游戏界的英超联赛,界面,2016,12,08
452,网红频出资本猎逐 电竞业发展如何“健康成长”？,中国新闻网,2016,12,07
453,电竞业发展如何“健康成长”？,新华网,2016,12,07
454,网红频出 资本猎逐 电竞业发展如何“健康成长”？,新华网,2016,12,07
455,女子电竞战队CLG Red:从网吧到电竞,界面,2016,12,03
456,快讯：电竞概念股异动拉升 掌趣科技涨近9%,中国网,2016,11,29
457,台媒称大陆电竞产业带动直播风潮：有人一次赚几万,中国新闻网,2016,11,29
458,大陆电竞产业带动直播风潮：有人一次赚几万,新浪综合,2016,11,29
459,腾讯退出龙珠直播 PP TV巨资收购图谋“电竞＋直播 ”,中国经营报,2016,11,26
460,台媒称大陆电竞产业带动直播风潮：有人一次赚几万,中国新闻网,2016,11,29
461,大陆电竞产业带动直播风潮：有人一次赚几万,新浪综合,2016,11,29
462,腾讯退出龙珠直播 PP TV巨资收购图谋“电竞＋直播 ”,中国经营报,2016,11,26
463,兄弟惜英雄？影视霸主电竞新贵欲上演新三板世纪联姻,新浪财经,2016,11,25
464,华谊兄弟筹划百亿元重组 抢滩移动电竞风口,证券日报,2016,11,25
465,华谊兄弟二度牵手英雄互娱 发力移动电竞,证券时报,2016,11,25
466,华谊兄弟筹划百亿元重组 控股英雄互娱 抢滩“移动电竞”风口,证券日报,2016,11,25
